,value
1995,1428.5221
1996,2007.8251
1997,2342.514
1998,2629.623
1999,4823.2335
2000,7305.6463
2001,8943.5824
2002,10830.5
2003,13208.233779342
2004,17027.190860304
2005,21609.765489327
2006,26917.2013750997
2007,33247.5132288221
2008,41276.8491870303
2009,38807.2185747562
2010,46308.5411899182
2011,60282.5405098909
2012,68163.8831175806
2013,73133.8950922986
2014,79199.6584965238
2015,83101.0623550568
2016,86010.1627447623
2017,92089.2797125905
2018,103626.564094873
