"","nace_r2","geo","time","values"
"90","Public administration, defence, education, human health and social work activities","Lithuania",2018-04-01,713.8
"91","Public administration, defence, education, human health and social work activities","Luxembourg",2018-04-01,1529.5
"92","Public administration, defence, education, human health and social work activities","Latvia",2018-04-01,564.9
"93","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2018-04-01,2593.1
"94","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2018-04-01,169.8
"95","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2018-04-01,669.2
"96","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2018-04-01,1032.3
"97","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2018-04-01,13533.2
"98","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2018-04-01,651.2
"99","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2018-04-01,12994.4
"100","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2018-04-01,94.9
"101","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Luxembourg",2018-04-01,169.4
"102","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Latvia",2018-04-01,113.1
"103","Total - all NACE activities","Austria",2018-04-01,67781.2
"104","Total - all NACE activities","Switzerland",2018-04-01,101967.2
"105","Total - all NACE activities","Cyprus",2018-04-01,3943.7
"106","Total - all NACE activities","Czechia",2018-04-01,34112.1
"107","Total - all NACE activities","Finland",2018-04-01,40102.8
"108","Total - all NACE activities","France",2018-04-01,459884
"109","Total - all NACE activities","Hungary",2018-04-01,23925.8
"110","Total - all NACE activities","Italy",2018-04-01,340712.1
"111","Total - all NACE activities","Lithuania",2018-04-01,6577.6
"112","Total - all NACE activities","Luxembourg",2018-04-01,9139.4
"113","Total - all NACE activities","Latvia",2018-04-01,3917.1
"114","Total - all NACE activities","Netherlands",2018-04-01,152838.9
"115","Agriculture, forestry and fishing","Switzerland",2018-01-01,710.9
"116","Agriculture, forestry and fishing","Cyprus",2018-01-01,59.8
"117","Agriculture, forestry and fishing","Czechia",2018-01-01,362.6
"118","Agriculture, forestry and fishing","Finland",2018-01-01,1323.5
"119","Agriculture, forestry and fishing","France",2018-01-01,7956.6
"120","Agriculture, forestry and fishing","Italy",2018-01-01,2819.3
"121","Agriculture, forestry and fishing","Lithuania",2018-01-01,114.5
"122","Agriculture, forestry and fishing","Luxembourg",2018-01-01,18.6
"123","Agriculture, forestry and fishing","Latvia",2018-01-01,122.3
"124","Industry (except construction)","Switzerland",2018-01-01,22420.2
"125","Industry (except construction)","Cyprus",2018-01-01,282.6
"126","Industry (except construction)","Czechia",2018-01-01,12041.8
"127","Industry (except construction)","Finland",2018-01-01,9563.4
"128","Industry (except construction)","France",2018-01-01,70706
"129","Industry (except construction)","Hungary",2018-01-01,5693.6
"130","Industry (except construction)","Italy",2018-01-01,65806.9
"131","Industry (except construction)","Lithuania",2018-01-01,1723.8
"132","Industry (except construction)","Luxembourg",2018-01-01,631.1
"133","Industry (except construction)","Latvia",2018-01-01,519.6
"134","Manufacturing","Switzerland",2018-01-01,21203.8
"135","Manufacturing","Cyprus",2018-01-01,212.2
"136","Manufacturing","Czechia",2018-01-01,11423.1
"137","Manufacturing","Finland",2018-01-01,8188
"138","Manufacturing","France",2018-01-01,59041.9
"139","Manufacturing","Hungary",2018-01-01,4981.4
"140","Manufacturing","Italy",2018-01-01,59059.2
"141","Manufacturing","Lithuania",2018-01-01,1531.8
"142","Manufacturing","Luxembourg",2018-01-01,529.8
"143","Manufacturing","Latvia",2018-01-01,369.3
"144","Construction","Switzerland",2018-01-01,4659.7
"145","Construction","Cyprus",2018-01-01,205.9
"146","Construction","Czechia",2018-01-01,1053.4
"147","Construction","Finland",2018-01-01,2205.2
"148","Construction","France",2018-01-01,18838.6
"149","Construction","Italy",2018-01-01,13373.2
"150","Construction","Lithuania",2018-01-01,331.7
"151","Construction","Luxembourg",2018-01-01,482.5
"152","Construction","Latvia",2018-01-01,136.5
"153","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2018-01-01,21406.5
"154","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2018-01-01,896.9
"155","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2018-01-01,5703.9
"156","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2018-01-01,6426.8
"157","Wholesale and retail trade, transport, accomodation and food service activities","France",2018-01-01,85684
"158","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2018-01-01,67245.9
"159","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2018-01-01,1935.8
"160","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2018-01-01,1460.9
"161","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2018-01-01,1041.8
"162","Information and communication","Switzerland",2018-01-01,4235.3
"163","Information and communication","Cyprus",2018-01-01,175.9
"164","Information and communication","Czechia",2018-01-01,2046.1
"165","Information and communication","Finland",2018-01-01,2842.9
"166","Information and communication","France",2018-01-01,34419.2
"167","Information and communication","Italy",2018-01-01,16649.9
"168","Information and communication","Lithuania",2018-01-01,316.6
"169","Information and communication","Luxembourg",2018-01-01,620.7
"170","Information and communication","Latvia",2018-01-01,161.2
"171","Financial and insurance activities","Switzerland",2018-01-01,11190.5
"172","Financial and insurance activities","Cyprus",2018-01-01,326.6
"173","Financial and insurance activities","Czechia",2018-01-01,1610.8
"174","Financial and insurance activities","Finland",2018-01-01,1029.3
"175","Financial and insurance activities","France",2018-01-01,17526.6
"176","Financial and insurance activities","Italy",2018-01-01,20342.7
"177","Financial and insurance activities","Lithuania",2018-01-01,139.6
"178","Financial and insurance activities","Luxembourg",2018-01-01,2319.8
"179","Financial and insurance activities","Latvia",2018-01-01,151.4
"180","Real estate activities","Switzerland",2018-01-01,5848.8
"181","Real estate activities","Cyprus",2018-01-01,376.2
"182","Real estate activities","Czechia",2018-01-01,2467.9
"183","Real estate activities","Finland",2018-01-01,4154.7
"184","Real estate activities","France",2018-01-01,55624.5
"185","Real estate activities","Italy",2018-01-01,42147.7
"186","Real estate activities","Lithuania",2018-01-01,364.4
"187","Real estate activities","Luxembourg",2018-01-01,909.3
"188","Real estate activities","Latvia",2018-01-01,475.8
"189","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2018-01-01,8768.6
"190","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2018-01-01,396.4
"191","Professional, scientific and technical activities; administrative and support service activities","Czechia",2018-01-01,1949.4
"192","Professional, scientific and technical activities; administrative and support service activities","Finland",2018-01-01,2812.4
"193","Professional, scientific and technical activities; administrative and support service activities","France",2018-01-01,61160.8
"194","Professional, scientific and technical activities; administrative and support service activities","Italy",2018-01-01,29175.9
"195","Professional, scientific and technical activities; administrative and support service activities","Lithuania",2018-01-01,392.4
"196","Professional, scientific and technical activities; administrative and support service activities","Luxembourg",2018-01-01,971.1
"197","Professional, scientific and technical activities; administrative and support service activities","Latvia",2018-01-01,217.7
"198","Public administration, defence, education, human health and social work activities","Switzerland",2018-01-01,18175.3
"199","Public administration, defence, education, human health and social work activities","Cyprus",2018-01-01,834.3
"200","Public administration, defence, education, human health and social work activities","Czechia",2018-01-01,4105
"201","Public administration, defence, education, human health and social work activities","Finland",2018-01-01,6842.7
"202","Public administration, defence, education, human health and social work activities","France",2018-01-01,97380.6
"203","Public administration, defence, education, human health and social work activities","Italy",2018-01-01,54920.1
"204","Public administration, defence, education, human health and social work activities","Lithuania",2018-01-01,709.3
"205","Public administration, defence, education, human health and social work activities","Luxembourg",2018-01-01,1522.2
"206","Public administration, defence, education, human health and social work activities","Latvia",2018-01-01,430
"207","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2018-01-01,2395.2
"208","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2018-01-01,160.4
"209","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2018-01-01,618.7
"210","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2018-01-01,1028.1
