"","nace_r2","geo","time","values"
"1639","Wholesale and retail trade, transport, accomodation and food service activities","France",2014-10-01,78484.9
"1640","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2014-10-01,66227.5
"1641","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2014-10-01,1859.9
"1642","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2014-10-01,1547.8
"1643","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2014-10-01,1060.1
"1644","Information and communication","Switzerland",2014-10-01,3964.4
"1645","Information and communication","Cyprus",2014-10-01,155.7
"1646","Information and communication","Czechia",2014-10-01,1933.9
"1647","Information and communication","Finland",2014-10-01,2876.4
"1648","Information and communication","France",2014-10-01,30402.7
"1649","Information and communication","Italy",2014-10-01,18072.7
"1650","Information and communication","Lithuania",2014-10-01,295
"1651","Information and communication","Luxembourg",2014-10-01,940.6
"1652","Information and communication","Latvia",2014-10-01,159.4
"1653","Financial and insurance activities","Switzerland",2014-10-01,11169.4
"1654","Financial and insurance activities","Cyprus",2014-10-01,338.5
"1655","Financial and insurance activities","Czechia",2014-10-01,1367.3
"1656","Financial and insurance activities","Finland",2014-10-01,983.1
"1657","Financial and insurance activities","France",2014-10-01,19260.7
"1658","Financial and insurance activities","Italy",2014-10-01,20253.9
"1659","Financial and insurance activities","Lithuania",2014-10-01,137.4
"1660","Financial and insurance activities","Luxembourg",2014-10-01,2019.6
"1661","Financial and insurance activities","Latvia",2014-10-01,246.7
"1662","Real estate activities","Switzerland",2014-10-01,5687.6
"1663","Real estate activities","Cyprus",2014-10-01,352.6
"1664","Real estate activities","Czechia",2014-10-01,2427.5
"1665","Real estate activities","Finland",2014-10-01,4114.7
"1666","Real estate activities","France",2014-10-01,54813.1
"1667","Real estate activities","Italy",2014-10-01,41102.4
"1668","Real estate activities","Lithuania",2014-10-01,381.1
"1669","Real estate activities","Luxembourg",2014-10-01,837.5
"1670","Real estate activities","Latvia",2014-10-01,418.5
"1671","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2014-10-01,8235.4
"1672","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2014-10-01,323.2
"1673","Professional, scientific and technical activities; administrative and support service activities","Czechia",2014-10-01,1985.5
"1674","Professional, scientific and technical activities; administrative and support service activities","Finland",2014-10-01,2931.8
"1675","Professional, scientific and technical activities; administrative and support service activities","France",2014-10-01,55934.7
"1676","Professional, scientific and technical activities; administrative and support service activities","Italy",2014-10-01,31696.7
"1677","Professional, scientific and technical activities; administrative and support service activities","Lithuania",2014-10-01,389.9
"1678","Professional, scientific and technical activities; administrative and support service activities","Luxembourg",2014-10-01,904.5
"1679","Professional, scientific and technical activities; administrative and support service activities","Latvia",2014-10-01,213.8
"1680","Public administration, defence, education, human health and social work activities","Switzerland",2014-10-01,17087.5
"1681","Public administration, defence, education, human health and social work activities","Cyprus",2014-10-01,780.1
"1682","Public administration, defence, education, human health and social work activities","Czechia",2014-10-01,3707.9
"1683","Public administration, defence, education, human health and social work activities","Finland",2014-10-01,6778.9
"1684","Public administration, defence, education, human health and social work activities","France",2014-10-01,96082.9
"1685","Public administration, defence, education, human health and social work activities","Italy",2014-10-01,54437.2
"1686","Public administration, defence, education, human health and social work activities","Lithuania",2014-10-01,716.1
"1687","Public administration, defence, education, human health and social work activities","Luxembourg",2014-10-01,1359.4
"1688","Public administration, defence, education, human health and social work activities","Latvia",2014-10-01,602.4
"1689","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2014-10-01,2205.3
"1690","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2014-10-01,147.8
"1691","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2014-10-01,627.5
"1692","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2014-10-01,1058.7
"1693","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2014-10-01,12938.8
"1694","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2014-10-01,686.6
"1695","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2014-10-01,12598.9
"1696","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2014-10-01,96.9
"1697","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Luxembourg",2014-10-01,171.3
"1698","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Latvia",2014-10-01,104.1
"1699","Total - all NACE activities","Austria",2014-10-01,66098.8
"1700","Total - all NACE activities","Switzerland",2014-10-01,96324.6
"1701","Total - all NACE activities","Cyprus",2014-10-01,3385.7
"1702","Total - all NACE activities","Czechia",2014-10-01,30583.9
"1703","Total - all NACE activities","Finland",2014-10-01,38341.9
"1704","Total - all NACE activities","France",2014-10-01,440831.4
"1705","Total - all NACE activities","Hungary",2014-10-01,22270.6
"1706","Total - all NACE activities","Italy",2014-10-01,327782.7
"1707","Total - all NACE activities","Lithuania",2014-10-01,6072.3
"1708","Total - all NACE activities","Luxembourg",2014-10-01,8644
"1709","Total - all NACE activities","Latvia",2014-10-01,3722
"1710","Total - all NACE activities","Netherlands",2014-10-01,141159.6
"1711","Agriculture, forestry and fishing","Switzerland",2014-07-01,765.5
"1712","Agriculture, forestry and fishing","Cyprus",2014-07-01,62.1
"1713","Agriculture, forestry and fishing","Czechia",2014-07-01,913.2
"1714","Agriculture, forestry and fishing","Finland",2014-07-01,1204
"1715","Agriculture, forestry and fishing","France",2014-07-01,8622
"1716","Agriculture, forestry and fishing","Italy",2014-07-01,10953.5
"1717","Agriculture, forestry and fishing","Lithuania",2014-07-01,584.4
"1718","Agriculture, forestry and fishing","Luxembourg",2014-07-01,19.9
"1719","Agriculture, forestry and fishing","Latvia",2014-07-01,185.6
"1720","Industry (except construction)","Switzerland",2014-07-01,20377.8
"1721","Industry (except construction)","Cyprus",2014-07-01,246.3
"1722","Industry (except construction)","Czechia",2014-07-01,9467.3
"1723","Industry (except construction)","Finland",2014-07-01,8546.3
"1724","Industry (except construction)","France",2014-07-01,61841.2
"1725","Industry (except construction)","Hungary",2014-07-01,5058.1
"1726","Industry (except construction)","Italy",2014-07-01,57549.3
"1727","Industry (except construction)","Lithuania",2014-07-01,1435.8
"1728","Industry (except construction)","Luxembourg",2014-07-01,493.2
"1729","Industry (except construction)","Latvia",2014-07-01,460.3
"1730","Manufacturing","Switzerland",2014-07-01,18854.5
"1731","Manufacturing","Cyprus",2014-07-01,158.4
"1732","Manufacturing","Czechia",2014-07-01,9287.4
"1733","Manufacturing","Finland",2014-07-01,7536.8
"1734","Manufacturing","France",2014-07-01,53711.1
"1735","Manufacturing","Hungary",2014-07-01,4465.8
"1736","Manufacturing","Italy",2014-07-01,50088.3
"1737","Manufacturing","Lithuania",2014-07-01,1278.8
"1738","Manufacturing","Luxembourg",2014-07-01,392.5
"1739","Manufacturing","Latvia",2014-07-01,397.7
"1740","Construction","Switzerland",2014-07-01,4797.9
"1741","Construction","Cyprus",2014-07-01,126
"1742","Construction","Czechia",2014-07-01,1798.5
"1743","Construction","Finland",2014-07-01,2470.4
"1744","Construction","France",2014-07-01,18568.5
"1745","Construction","Italy",2014-07-01,13400
"1746","Construction","Lithuania",2014-07-01,530.5
"1747","Construction","Luxembourg",2014-07-01,460.3
"1748","Construction","Latvia",2014-07-01,250.8
"1749","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2014-07-01,21024.9
"1750","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2014-07-01,969.6
"1751","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2014-07-01,5702.4
"1752","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2014-07-01,6387.4
"1753","Wholesale and retail trade, transport, accomodation and food service activities","France",2014-07-01,77893.5
"1754","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2014-07-01,69305.2
"1755","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2014-07-01,1940.4
"1756","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2014-07-01,1421.9
"1757","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2014-07-01,1128.5
"1758","Information and communication","Switzerland",2014-07-01,3991.3
"1759","Information and communication","Cyprus",2014-07-01,174
"1760","Information and communication","Czechia",2014-07-01,1631.3
"1761","Information and communication","Finland",2014-07-01,2461
"1762","Information and communication","France",2014-07-01,27747.3
"1763","Information and communication","Italy",2014-07-01,15617.2
"1764","Information and communication","Lithuania",2014-07-01,281.6
"1765","Information and communication","Luxembourg",2014-07-01,766.5
"1766","Information and communication","Latvia",2014-07-01,147.6
"1767","Financial and insurance activities","Switzerland",2014-07-01,10933.9
"1768","Financial and insurance activities","Cyprus",2014-07-01,336.6
"1769","Financial and insurance activities","Czechia",2014-07-01,1350.7
"1770","Financial and insurance activities","Finland",2014-07-01,1051.4
"1771","Financial and insurance activities","France",2014-07-01,18860.4
"1772","Financial and insurance activities","Italy",2014-07-01,19722.8
"1773","Financial and insurance activities","Lithuania",2014-07-01,130.2
"1774","Financial and insurance activities","Luxembourg",2014-07-01,1976.5
"1775","Financial and insurance activities","Latvia",2014-07-01,254.5
"1776","Real estate activities","Switzerland",2014-07-01,5667.8
"1777","Real estate activities","Cyprus",2014-07-01,353.7
"1778","Real estate activities","Czechia",2014-07-01,2303.4
"1779","Real estate activities","Finland",2014-07-01,4067.9
"1780","Real estate activities","France",2014-07-01,54267.1
"1781","Real estate activities","Italy",2014-07-01,40782
"1782","Real estate activities","Lithuania",2014-07-01,366.5
"1783","Real estate activities","Luxembourg",2014-07-01,831.5
"1784","Real estate activities","Latvia",2014-07-01,414.4
"1785","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2014-07-01,8231.2
"1786","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2014-07-01,305.9
"1787","Professional, scientific and technical activities; administrative and support service activities","Czechia",2014-07-01,1776.1
"1788","Professional, scientific and technical activities; administrative and support service activities","Finland",2014-07-01,2517.8
"1789","Professional, scientific and technical activities; administrative and support service activities","France",2014-07-01,54353.6
"1790","Professional, scientific and technical activities; administrative and support service activities","Italy",2014-07-01,27908.5
"1791","Professional, scientific and technical activities; administrative and support service activities","Lithuania",2014-07-01,394.8
"1792","Professional, scientific and technical activities; administrative and support service activities","Luxembourg",2014-07-01,779.8
"1793","Professional, scientific and technical activities; administrative and support service activities","Latvia",2014-07-01,212.3
"1794","Public administration, defence, education, human health and social work activities","Switzerland",2014-07-01,16864.9
"1795","Public administration, defence, education, human health and social work activities","Cyprus",2014-07-01,702.7
"1796","Public administration, defence, education, human health and social work activities","Czechia",2014-07-01,3846.9
"1797","Public administration, defence, education, human health and social work activities","Finland",2014-07-01,6795.6
"1798","Public administration, defence, education, human health and social work activities","France",2014-07-01,93296.6
"1799","Public administration, defence, education, human health and social work activities","Italy",2014-07-01,55555.6
"1800","Public administration, defence, education, human health and social work activities","Lithuania",2014-07-01,704.8
"1801","Public administration, defence, education, human health and social work activities","Luxembourg",2014-07-01,1313.9
"1802","Public administration, defence, education, human health and social work activities","Latvia",2014-07-01,422.6
"1803","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2014-07-01,2319.9
"1804","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2014-07-01,148.4
"1805","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2014-07-01,599.4
"1806","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2014-07-01,1057
"1807","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2014-07-01,13151.9
"1808","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2014-07-01,613.6
"1809","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2014-07-01,12409.4
"1810","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2014-07-01,98.2
"1811","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Luxembourg",2014-07-01,157.4
"1812","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Latvia",2014-07-01,95.3
"1813","Total - all NACE activities","Austria",2014-07-01,63516.7
"1814","Total - all NACE activities","Switzerland",2014-07-01,95030.5
"1815","Total - all NACE activities","Cyprus",2014-07-01,3422.9
"1816","Total - all NACE activities","Czechia",2014-07-01,29785.2
"1817","Total - all NACE activities","Finland",2014-07-01,36690.8
"1818","Total - all NACE activities","France",2014-07-01,427827.9
"1819","Total - all NACE activities","Hungary",2014-07-01,21396.2
"1820","Total - all NACE activities","Italy",2014-07-01,322854.5
"1821","Total - all NACE activities","Lithuania",2014-07-01,6429.3
"1822","Total - all NACE activities","Luxembourg",2014-07-01,8099
"1823","Total - all NACE activities","Latvia",2014-07-01,3594.6
"1824","Total - all NACE activities","Netherlands",2014-07-01,133813.1
"1825","Agriculture, forestry and fishing","Switzerland",2014-04-01,762.6
"1826","Agriculture, forestry and fishing","Cyprus",2014-04-01,59.6
"1827","Agriculture, forestry and fishing","Czechia",2014-04-01,478.8
"1828","Agriculture, forestry and fishing","Finland",2014-04-01,1133.1
"1829","Agriculture, forestry and fishing","France",2014-04-01,8449.3
"1830","Agriculture, forestry and fishing","Italy",2014-04-01,5954.9
"1831","Agriculture, forestry and fishing","Lithuania",2014-04-01,223.9
"1832","Agriculture, forestry and fishing","Luxembourg",2014-04-01,20.1
"1833","Agriculture, forestry and fishing","Latvia",2014-04-01,181.2
"1834","Industry (except construction)","Switzerland",2014-04-01,20569.6
"1835","Industry (except construction)","Cyprus",2014-04-01,230.7
"1836","Industry (except construction)","Czechia",2014-04-01,10287.4
"1837","Industry (except construction)","Finland",2014-04-01,8805.9
"1838","Industry (except construction)","France",2014-04-01,65643
"1839","Industry (except construction)","Hungary",2014-04-01,5249.1
"1840","Industry (except construction)","Italy",2014-04-01,62048
"1841","Industry (except construction)","Lithuania",2014-04-01,1427.4
"1842","Industry (except construction)","Luxembourg",2014-04-01,504.4
"1843","Industry (except construction)","Latvia",2014-04-01,457.5
"1844","Manufacturing","Switzerland",2014-04-01,19025.3
"1845","Manufacturing","Cyprus",2014-04-01,169.8
"1846","Manufacturing","Czechia",2014-04-01,9915.6
"1847","Manufacturing","Finland",2014-04-01,7685.9
"1848","Manufacturing","France",2014-04-01,56877.8
"1849","Manufacturing","Hungary",2014-04-01,4665.3
"1850","Manufacturing","Italy",2014-04-01,54811.5
"1851","Manufacturing","Lithuania",2014-04-01,1278.8
"1852","Manufacturing","Luxembourg",2014-04-01,393.6
"1853","Manufacturing","Latvia",2014-04-01,388.4
"1854","Construction","Switzerland",2014-04-01,4691.3
"1855","Construction","Cyprus",2014-04-01,141.2
"1856","Construction","Czechia",2014-04-01,1646.8
"1857","Construction","Finland",2014-04-01,2240.3
"1858","Construction","France",2014-04-01,19354
"1859","Construction","Italy",2014-04-01,14274.2
"1860","Construction","Lithuania",2014-04-01,430.8
"1861","Construction","Luxembourg",2014-04-01,515.4
"1862","Construction","Latvia",2014-04-01,185.3
"1863","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2014-04-01,20166.6
"1864","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2014-04-01,892.8
"1865","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2014-04-01,5511
"1866","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2014-04-01,6451.7
"1867","Wholesale and retail trade, transport, accomodation and food service activities","France",2014-04-01,77959.2
"1868","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2014-04-01,66883.2
"1869","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2014-04-01,1826.8
"1870","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2014-04-01,1448.9
"1871","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2014-04-01,1008.4
"1872","Information and communication","Switzerland",2014-04-01,3995.3
"1873","Information and communication","Cyprus",2014-04-01,161
"1874","Information and communication","Czechia",2014-04-01,1645.8
"1875","Information and communication","Finland",2014-04-01,2601.6
"1876","Information and communication","France",2014-04-01,28536
"1877","Information and communication","Italy",2014-04-01,16615.6
"1878","Information and communication","Lithuania",2014-04-01,267.8
"1879","Information and communication","Luxembourg",2014-04-01,686.8
"1880","Information and communication","Latvia",2014-04-01,135.2
"1881","Financial and insurance activities","Switzerland",2014-04-01,10948.4
"1882","Financial and insurance activities","Cyprus",2014-04-01,330.2
"1883","Financial and insurance activities","Czechia",2014-04-01,1392.4
"1884","Financial and insurance activities","Finland",2014-04-01,1038.4
"1885","Financial and insurance activities","France",2014-04-01,19028.7
"1886","Financial and insurance activities","Italy",2014-04-01,20356
"1887","Financial and insurance activities","Lithuania",2014-04-01,142.9
"1888","Financial and insurance activities","Luxembourg",2014-04-01,1869.9
"1889","Financial and insurance activities","Latvia",2014-04-01,214.3
"1890","Real estate activities","Switzerland",2014-04-01,5642.4
"1891","Real estate activities","Cyprus",2014-04-01,351.6
"1892","Real estate activities","Czechia",2014-04-01,2315.4
"1893","Real estate activities","Finland",2014-04-01,4074.7
"1894","Real estate activities","France",2014-04-01,54393.7
"1895","Real estate activities","Italy",2014-04-01,40888.5
"1896","Real estate activities","Lithuania",2014-04-01,366.3
"1897","Real estate activities","Luxembourg",2014-04-01,828.4
"1898","Real estate activities","Latvia",2014-04-01,428.1
"1899","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2014-04-01,8125.1
"1900","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2014-04-01,319.4
"1901","Professional, scientific and technical activities; administrative and support service activities","Czechia",2014-04-01,1794.6
"1902","Professional, scientific and technical activities; administrative and support service activities","Finland",2014-04-01,2715.2
"1903","Professional, scientific and technical activities; administrative and support service activities","France",2014-04-01,55006.5
"1904","Professional, scientific and technical activities; administrative and support service activities","Italy",2014-04-01,29751.9
"1905","Professional, scientific and technical activities; administrative and support service activities","Lithuania",2014-04-01,367.6
"1906","Professional, scientific and technical activities; administrative and support service activities","Luxembourg",2014-04-01,799
"1907","Professional, scientific and technical activities; administrative and support service activities","Latvia",2014-04-01,200.5
"1908","Public administration, defence, education, human health and social work activities","Switzerland",2014-04-01,16685.4
"1909","Public administration, defence, education, human health and social work activities","Cyprus",2014-04-01,776
"1910","Public administration, defence, education, human health and social work activities","Czechia",2014-04-01,3804
"1911","Public administration, defence, education, human health and social work activities","Finland",2014-04-01,6877
"1912","Public administration, defence, education, human health and social work activities","France",2014-04-01,94635.6
"1913","Public administration, defence, education, human health and social work activities","Italy",2014-04-01,55427
"1914","Public administration, defence, education, human health and social work activities","Lithuania",2014-04-01,713
"1915","Public administration, defence, education, human health and social work activities","Luxembourg",2014-04-01,1336.2
"1916","Public administration, defence, education, human health and social work activities","Latvia",2014-04-01,504.5
"1917","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2014-04-01,2462.1
"1918","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2014-04-01,149.5
"1919","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2014-04-01,584.7
"1920","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2014-04-01,1048.5
"1921","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2014-04-01,13079.1
"1922","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2014-04-01,615.7
"1923","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2014-04-01,12554.9
"1924","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2014-04-01,90.5
"1925","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Luxembourg",2014-04-01,165.8
"1926","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Latvia",2014-04-01,99.3
"1927","Total - all NACE activities","Austria",2014-04-01,62384.4
"1928","Total - all NACE activities","Switzerland",2014-04-01,94089.8
"1929","Total - all NACE activities","Cyprus",2014-04-01,3407.7
"1930","Total - all NACE activities","Czechia",2014-04-01,29513.9
"1931","Total - all NACE activities","Finland",2014-04-01,37129
"1932","Total - all NACE activities","France",2014-04-01,435203
"1933","Total - all NACE activities","Hungary",2014-04-01,20697.3
"1934","Total - all NACE activities","Italy",2014-04-01,324315.8
"1935","Total - all NACE activities","Lithuania",2014-04-01,5864
"1936","Total - all NACE activities","Luxembourg",2014-04-01,8060.7
"1937","Total - all NACE activities","Latvia",2014-04-01,3474.4
"1938","Total - all NACE activities","Netherlands",2014-04-01,138478.2
"1939","Agriculture, forestry and fishing","Switzerland",2014-01-01,747.5
"1940","Agriculture, forestry and fishing","Cyprus",2014-01-01,59.7
"1941","Agriculture, forestry and fishing","Czechia",2014-01-01,353
"1942","Agriculture, forestry and fishing","Finland",2014-01-01,1208.9
"1943","Agriculture, forestry and fishing","France",2014-01-01,8131.3
"1944","Agriculture, forestry and fishing","Italy",2014-01-01,2434
"1945","Agriculture, forestry and fishing","Lithuania",2014-01-01,119.6
"1946","Agriculture, forestry and fishing","Luxembourg",2014-01-01,17.6
"1947","Agriculture, forestry and fishing","Latvia",2014-01-01,124.3
"1948","Industry (except construction)","Switzerland",2014-01-01,20340.6
"1949","Industry (except construction)","Cyprus",2014-01-01,217.4
"1950","Industry (except construction)","Czechia",2014-01-01,10137.2
"1951","Industry (except construction)","Finland",2014-01-01,8420.5
"1952","Industry (except construction)","France",2014-01-01,67470.5
"1953","Industry (except construction)","Hungary",2014-01-01,4755.9
"1954","Industry (except construction)","Italy",2014-01-01,60992.3
"1955","Industry (except construction)","Lithuania",2014-01-01,1491.2
"1956","Industry (except construction)","Luxembourg",2014-01-01,508.6
"1957","Industry (except construction)","Latvia",2014-01-01,427.2
"1958","Manufacturing","Switzerland",2014-01-01,18801.6
"1959","Manufacturing","Cyprus",2014-01-01,157.9
"1960","Manufacturing","Czechia",2014-01-01,8915.2
"1961","Manufacturing","Finland",2014-01-01,6946.1
"1962","Manufacturing","France",2014-01-01,56306
"1963","Manufacturing","Hungary",2014-01-01,4129
"1964","Manufacturing","Italy",2014-01-01,53462.9
"1965","Manufacturing","Lithuania",2014-01-01,1288.2
"1966","Manufacturing","Luxembourg",2014-01-01,395.7
"1967","Manufacturing","Latvia",2014-01-01,331.3
"1968","Construction","Switzerland",2014-01-01,4377.9
"1969","Construction","Cyprus",2014-01-01,142.5
"1970","Construction","Czechia",2014-01-01,995.6
"1971","Construction","Finland",2014-01-01,1857.9
"1972","Construction","France",2014-01-01,18753.6
"1973","Construction","Italy",2014-01-01,13372.1
"1974","Construction","Lithuania",2014-01-01,282.8
"1975","Construction","Luxembourg",2014-01-01,484
"1976","Construction","Latvia",2014-01-01,111.1
"1977","Wholesale and retail trade, transport, accomodation and food service activities","Switzerland",2014-01-01,19547.5
"1978","Wholesale and retail trade, transport, accomodation and food service activities","Cyprus",2014-01-01,786.5
"1979","Wholesale and retail trade, transport, accomodation and food service activities","Czechia",2014-01-01,4873.6
"1980","Wholesale and retail trade, transport, accomodation and food service activities","Finland",2014-01-01,5900.4
"1981","Wholesale and retail trade, transport, accomodation and food service activities","France",2014-01-01,77909.2
"1982","Wholesale and retail trade, transport, accomodation and food service activities","Italy",2014-01-01,61383.7
"1983","Wholesale and retail trade, transport, accomodation and food service activities","Lithuania",2014-01-01,1660.4
"1984","Wholesale and retail trade, transport, accomodation and food service activities","Luxembourg",2014-01-01,1409.2
"1985","Wholesale and retail trade, transport, accomodation and food service activities","Latvia",2014-01-01,938.1
"1986","Information and communication","Switzerland",2014-01-01,3973.8
"1987","Information and communication","Cyprus",2014-01-01,148.1
"1988","Information and communication","Czechia",2014-01-01,1558.4
"1989","Information and communication","Finland",2014-01-01,2518.7
"1990","Information and communication","France",2014-01-01,28676.4
"1991","Information and communication","Italy",2014-01-01,15933.5
"1992","Information and communication","Lithuania",2014-01-01,264.9
"1993","Information and communication","Luxembourg",2014-01-01,680
"1994","Information and communication","Latvia",2014-01-01,132.5
"1995","Financial and insurance activities","Switzerland",2014-01-01,10935.7
"1996","Financial and insurance activities","Cyprus",2014-01-01,318.2
"1997","Financial and insurance activities","Czechia",2014-01-01,1323.7
"1998","Financial and insurance activities","Finland",2014-01-01,1070.5
"1999","Financial and insurance activities","France",2014-01-01,18719.9
"2000","Financial and insurance activities","Italy",2014-01-01,20292.3
"2001","Financial and insurance activities","Lithuania",2014-01-01,133.8
"2002","Financial and insurance activities","Luxembourg",2014-01-01,1938
"2003","Financial and insurance activities","Latvia",2014-01-01,218.4
"2004","Real estate activities","Switzerland",2014-01-01,5636.9
"2005","Real estate activities","Cyprus",2014-01-01,346.3
"2006","Real estate activities","Czechia",2014-01-01,2277.9
"2007","Real estate activities","Finland",2014-01-01,3954
"2008","Real estate activities","France",2014-01-01,54188.4
"2009","Real estate activities","Italy",2014-01-01,40364.9
"2010","Real estate activities","Lithuania",2014-01-01,350.1
"2011","Real estate activities","Luxembourg",2014-01-01,802.4
"2012","Real estate activities","Latvia",2014-01-01,448.4
"2013","Professional, scientific and technical activities; administrative and support service activities","Switzerland",2014-01-01,7984.7
"2014","Professional, scientific and technical activities; administrative and support service activities","Cyprus",2014-01-01,328.1
"2015","Professional, scientific and technical activities; administrative and support service activities","Czechia",2014-01-01,1598.2
"2016","Professional, scientific and technical activities; administrative and support service activities","Finland",2014-01-01,2458.9
"2017","Professional, scientific and technical activities; administrative and support service activities","France",2014-01-01,53608.9
"2018","Professional, scientific and technical activities; administrative and support service activities","Italy",2014-01-01,28017.8
"2019","Professional, scientific and technical activities; administrative and support service activities","Lithuania",2014-01-01,319.8
"2020","Professional, scientific and technical activities; administrative and support service activities","Luxembourg",2014-01-01,778.8
"2021","Professional, scientific and technical activities; administrative and support service activities","Latvia",2014-01-01,182
"2022","Public administration, defence, education, human health and social work activities","Switzerland",2014-01-01,16681.4
"2023","Public administration, defence, education, human health and social work activities","Cyprus",2014-01-01,781
"2024","Public administration, defence, education, human health and social work activities","Czechia",2014-01-01,3889.4
"2025","Public administration, defence, education, human health and social work activities","Finland",2014-01-01,6715.9
"2026","Public administration, defence, education, human health and social work activities","France",2014-01-01,94217.6
"2027","Public administration, defence, education, human health and social work activities","Italy",2014-01-01,55330.7
"2028","Public administration, defence, education, human health and social work activities","Lithuania",2014-01-01,698.5
"2029","Public administration, defence, education, human health and social work activities","Luxembourg",2014-01-01,1355.2
"2030","Public administration, defence, education, human health and social work activities","Latvia",2014-01-01,377
"2031","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Switzerland",2014-01-01,2286.4
"2032","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Cyprus",2014-01-01,148.3
"2033","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Czechia",2014-01-01,544.3
"2034","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Finland",2014-01-01,1016.1
"2035","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","France",2014-01-01,13283.2
"2036","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Hungary",2014-01-01,531.1
"2037","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Italy",2014-01-01,12635.1
"2038","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies","Lithuania",2014-01-01,85.4
