0,ALA,ALB,ALC,ALF,ALG,ALJ,ALK,ALL,ALM,ALO,ALR,ATA,ATB,ATC,ATF,ATG,ATJ,ATK,ATL,ATM,ATO,ATR,BAA,BAB,BAC,BAF,BAG,BAJ,BAK,BAL,BAM,BAO,BAR,BEA,BEB,BEF,BEG,BEJ,BEK,BEL,BEM,BEO,BER,BGA,BGB,BGC,BGF,BGG,BGJ,BGK,BGL,BGM,BGO,BGR,CHA,CHB,CHC,CHF,CHG,CHJ,CHK,CHL,CHM,CHO,CHR,CYA,CYB,CYC,CYF,CYG,CYJ,CYK,CYL,CYM,CYO,CYR,CZA,CZB,CZC,CZF,CZG,CZJ,CZK,CZL,CZM,CZO,CZR,DEA,DEB,DEC,DEF,DEG,DEJ,DEK,DEL,DEM,DEO,DER,DKA,DKB,DKC,DKF,DKG,DKJ,DKK,DKL,DKM,DKO,DKR,EEA,EEB,EEC,EEF,EEG,EEJ,EEK,EEL,EEM,EEO,EER,ELA,ELB,ELC,ELF,ELG,ELJ,ELK,ELL,ELM,ELO,ELR,ESA,ESB,ESC,ESF,ESG,ESJ,ESK,ESL,ESM,ESO,ESR,FIA,FIB,FIC,FIF,FIG,FIJ,FIK,FIL,FIM,FIO,FIR,FRA,FRB,FRC,FRF,FRG,FRJ,FRK,FRL,FRM,FRO,FRR,HRA,HRB,HRC,HRF,HRG,HRJ,HRK,HRL,HRM,HRO,HRR,HUA,HUB,HUC,HUF,HUG,HUJ,HUK,HUL,HUM,HUO,HUR,IEA,IEB,IEC,IEF,IEG,IEJ,IEK,IEL,IEM,IEO,IER,ITA,ITB,ITC,ITF,ITG,ITJ,ITK,ITL,ITM,ITO,ITR,LTA,LTB,LTC,LTF,LTG,LTJ,LTK,LTL,LTM,LTO,LTR,LUA,LUB,LUC,LUF,LUG,LUJ,LUK,LUL,LUM,LUO,LUR,LVA,LVB,LVC,LVF,LVG,LVJ,LVK,LVL,LVM,LVO,LVR,MKA,MKB,MKC,MKF,MKG,MKJ,MKK,MKL,MKM,MKO,MKR,MTA,MTB,MTC,MTF,MTG,MTJ,MTK,MTL,MTM,MTO,MTR,NLA,NLB,NLC,NLF,NLG,NLJ,NLK,NLL,NLM,NLO,NLR,NOA,NOB,NOC,NOF,NOG,NOJ,NOK,NOL,NOM,NOO,NOR,PLA,PLB,PLC,PLF,PLG,PLJ,PLK,PLL,PLM,PLO,PLR,PTA,PTB,PTC,PTF,PTG,PTJ,PTK,PTL,PTM,PTO,PTR,ROA,ROB,ROC,ROF,ROG,ROJ,ROK,ROL,ROM,ROO,ROR,RSA,RSB,RSC,RSF,RSG,RSJ,RSK,RSL,RSM,RSO,RSR,SEA,SEB,SEC,SEF,SEG,SEJ,SEK,SEL,SEM,SEO,SER,SIA,SIB,SIC,SIF,SIG,SIJ,SIK,SIL,SIM,SIO,SIR,SKA,SKB,SKC,SKF,SKG,SKJ,SKK,SKL,SKM,SKO,SKR,TRA,TRB,TRC,TRF,TRG,TRJ,TRK,TRL,TRM,TRO,TRR,UKA,UKB,UKC,UKF,UKG,UKJ,UKK,UKL,UKM,UKO,UKR,XKA,XKB,XKF,XKG,XKK,XKL,XKO,XKR
1980-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4567.400000000001,25976.599999999995,22604.13333333333,8403.566666666668,20151.63333333333,4400.633333333333,4522.233333333334,8557.666666666666,11007.533333333335,22470.966666666664,2649.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.8,3090.8999999999996,1505.75,510.35,2303.3500000000004,258.2,356.70000000000005,695.95,325.8,1875.05,194.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4538.366666666666,26875.066666666666,23346.666666666668,8473.300000000001,21435.033333333336,4550.2,4752.366666666667,8850.533333333333,11716.4,22845.600000000002,2628.2000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.05,3755.05,1644.6999999999998,562.25,2318.25,285.45,383.6,736.75,359.1,1959.2,205.85000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4552.400000000001,28326.233333333334,24567.599999999995,8288.7,21087.100000000002,4555.666666666667,4860.466666666667,9178.233333333332,11725.033333333333,23314.466666666664,2764.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.65,4034.2999999999997,1683.7,535.7,2573.0,293.9,492.2,757.25,369.4,2158.2,222.14999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700.466666666667,28788.233333333334,25160.766666666663,8529.066666666666,22092.099999999995,4607.733333333333,4981.0,9490.133333333333,12164.9,23988.466666666664,2829.866666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.55,4508.2,1767.55,583.65,2883.7,324.85,500.85,812.05,376.45,2296.95,234.10000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948.000000000001,28490.733333333334,24494.466666666664,8456.666666666666,22059.86666666667,4806.8,5156.433333333333,9934.366666666667,12133.933333333334,25044.43333333333,2914.866666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.2,4203.7,1766.0500000000002,587.2,2823.0,342.5,507.54999999999995,839.1,381.95,2359.15,239.89999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5348.400000000001,30013.166666666668,25664.2,8915.833333333334,23586.0,4956.033333333334,5342.766666666667,10053.9,12566.033333333333,26042.333333333332,2893.8666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.3,4390.0,1860.1,629.75,2737.3,359.75,524.8499999999999,849.7,402.4,2368.85,243.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5884.566666666667,31152.733333333334,26717.933333333334,9110.3,23395.8,5125.933333333333,5338.433333333333,10272.566666666668,12588.333333333334,27069.13333333333,3043.4666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.15,4808.45,2015.1,665.45,2898.3,366.9,596.0,900.1,427.2,2605.4,266.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180.133333333334,31178.63333333333,26822.666666666668,9714.3,24650.766666666666,5237.499999999999,5496.233333333334,10466.966666666667,13004.266666666668,27654.533333333336,3153.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.15000000000003,4731.2,2003.65,712.25,3157.5,428.54999999999995,621.15,968.8,447.65,2706.5,274.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6065.900000000001,28391.5,24441.8,8888.333333333334,22532.033333333336,5038.3,5532.566666666667,10086.833333333334,12151.0,26808.733333333337,3074.2000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.45,4723.3,1762.4,674.2,2977.45,399.85,594.4000000000001,955.6500000000001,426.3,2678.85,270.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6099.166666666667,30891.566666666666,26525.3,8885.3,24268.100000000002,5229.566666666667,5849.966666666667,10388.533333333333,12820.699999999999,27689.233333333337,3135.7666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.6,4889.700000000001,1849.75,719.25,2787.45,393.95,611.05,927.4,458.15,2566.3999999999996,267.29999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
