GDP,Geography,Industry,Quarter
"4,463",Alabama,Accommodation and food services,2006 Q1
"1,205",Alaska,Accommodation and food services,2006 Q1
"9,315",Arizona,Accommodation and food services,2006 Q1
"2,575",Arkansas,Accommodation and food services,2006 Q1
"54,763",California,Accommodation and food services,2006 Q1
"8,505",Colorado,Accommodation and food services,2006 Q1
"4,549",Connecticut,Accommodation and food services,2006 Q1
"1,225",Delaware,Accommodation and food services,2006 Q1
"3,177",District of Columbia,Accommodation and food services,2006 Q1
"95,434",Far West,Accommodation and food services,2006 Q1
"33,323",Florida,Accommodation and food services,2006 Q1
"13,016",Georgia,Accommodation and food services,2006 Q1
"54,548",Great Lakes,Accommodation and food services,2006 Q1
"5,703",Hawaii,Accommodation and food services,2006 Q1
"1,517",Idaho,Accommodation and food services,2006 Q1
"17,619",Illinois,Accommodation and food services,2006 Q1
"6,968",Indiana,Accommodation and food services,2006 Q1
"3,061",Iowa,Accommodation and food services,2006 Q1
"3,444",Kansas,Accommodation and food services,2006 Q1
"4,961",Kentucky,Accommodation and food services,2006 Q1
"5,448",Louisiana,Accommodation and food services,2006 Q1
"1,927",Maine,Accommodation and food services,2006 Q1
"8,136",Maryland,Accommodation and food services,2006 Q1
"10,547",Massachusetts,Accommodation and food services,2006 Q1
"10,744",Michigan,Accommodation and food services,2006 Q1
"67,491",Mideast,Accommodation and food services,2006 Q1
"6,928",Minnesota,Accommodation and food services,2006 Q1
"3,602",Mississippi,Accommodation and food services,2006 Q1
"7,454",Missouri,Accommodation and food services,2006 Q1
"1,268",Montana,Accommodation and food services,2006 Q1
"1,977",Nebraska,Accommodation and food services,2006 Q1
"19,531",Nevada,Accommodation and food services,2006 Q1
"22,071",New England,Accommodation and food services,2006 Q1
"2,084",New Hampshire,Accommodation and food services,2006 Q1
"12,598",New Jersey,Accommodation and food services,2006 Q1
"2,460",New Mexico,Accommodation and food services,2006 Q1
"28,853",New York,Accommodation and food services,2006 Q1
"10,007",North Carolina,Accommodation and food services,2006 Q1
758,North Dakota,Accommodation and food services,2006 Q1
"12,794",Ohio,Accommodation and food services,2006 Q1
"3,731",Oklahoma,Accommodation and food services,2006 Q1
"4,640",Oregon,Accommodation and food services,2006 Q1
"13,500",Pennsylvania,Accommodation and food services,2006 Q1
"24,644",Plains,Accommodation and food services,2006 Q1
"1,716",Rhode Island,Accommodation and food services,2006 Q1
"15,283",Rocky Mountain,Accommodation and food services,2006 Q1
"6,183",South Carolina,Accommodation and food services,2006 Q1
"1,025",South Dakota,Accommodation and food services,2006 Q1
"105,072",Southeast,Accommodation and food services,2006 Q1
"48,144",Southwest,Accommodation and food services,2006 Q1
"8,821",Tennessee,Accommodation and food services,2006 Q1
"32,635",Texas,Accommodation and food services,2006 Q1
"432,694",United States,Accommodation and food services,2006 Q1
"2,898",Utah,Accommodation and food services,2006 Q1
"1,247",Vermont,Accommodation and food services,2006 Q1
"10,693",Virginia,Accommodation and food services,2006 Q1
"9,551",Washington,Accommodation and food services,2006 Q1
"1,983",West Virginia,Accommodation and food services,2006 Q1
"6,428",Wisconsin,Accommodation and food services,2006 Q1
"1,097",Wyoming,Accommodation and food services,2006 Q1
"4,137",Alabama,Administrative and waste management services,2006 Q1
736,Alaska,Administrative and waste management services,2006 Q1
"11,178",Arizona,Administrative and waste management services,2006 Q1
"2,296",Arkansas,Administrative and waste management services,2006 Q1
"56,750",California,Administrative and waste management services,2006 Q1
"7,773",Colorado,Administrative and waste management services,2006 Q1
"5,628",Connecticut,Administrative and waste management services,2006 Q1
"1,184",Delaware,Administrative and waste management services,2006 Q1
"2,357",District of Columbia,Administrative and waste management services,2006 Q1
"77,053",Far West,Administrative and waste management services,2006 Q1
"34,339",Florida,Administrative and waste management services,2006 Q1
"13,909",Georgia,Administrative and waste management services,2006 Q1
"62,421",Great Lakes,Administrative and waste management services,2006 Q1
"1,936",Hawaii,Administrative and waste management services,2006 Q1
"1,854",Idaho,Administrative and waste management services,2006 Q1
"20,065",Illinois,Administrative and waste management services,2006 Q1
"7,039",Indiana,Administrative and waste management services,2006 Q1
"2,586",Iowa,Administrative and waste management services,2006 Q1
"3,419",Kansas,Administrative and waste management services,2006 Q1
"3,881",Kentucky,Administrative and waste management services,2006 Q1
"5,009",Louisiana,Administrative and waste management services,2006 Q1
"1,159",Maine,Administrative and waste management services,2006 Q1
"8,605",Maryland,Administrative and waste management services,2006 Q1
"10,203",Massachusetts,Administrative and waste management services,2006 Q1
"15,003",Michigan,Administrative and waste management services,2006 Q1
"69,353",Mideast,Administrative and waste management services,2006 Q1
"6,238",Minnesota,Administrative and waste management services,2006 Q1
"2,034",Mississippi,Administrative and waste management services,2006 Q1
"6,687",Missouri,Administrative and waste management services,2006 Q1
