GDP,Geography,Industry,Quarter
"4,369",Alabama,Accommodation and food services,2008 Q1
"1,167",Alaska,Accommodation and food services,2008 Q1
"9,143",Arizona,Accommodation and food services,2008 Q1
"2,529",Arkansas,Accommodation and food services,2008 Q1
"53,476",California,Accommodation and food services,2008 Q1
"8,506",Colorado,Accommodation and food services,2008 Q1
"4,427",Connecticut,Accommodation and food services,2008 Q1
"1,151",Delaware,Accommodation and food services,2008 Q1
"3,070",District of Columbia,Accommodation and food services,2008 Q1
"93,570",Far West,Accommodation and food services,2008 Q1
"32,090",Florida,Accommodation and food services,2008 Q1
"12,168",Georgia,Accommodation and food services,2008 Q1
"52,402",Great Lakes,Accommodation and food services,2008 Q1
"5,490",Hawaii,Accommodation and food services,2008 Q1
"1,535",Idaho,Accommodation and food services,2008 Q1
"17,778",Illinois,Accommodation and food services,2008 Q1
"6,518",Indiana,Accommodation and food services,2008 Q1
"3,073",Iowa,Accommodation and food services,2008 Q1
"3,049",Kansas,Accommodation and food services,2008 Q1
"4,513",Kentucky,Accommodation and food services,2008 Q1
"5,679",Louisiana,Accommodation and food services,2008 Q1
"1,764",Maine,Accommodation and food services,2008 Q1
"7,861",Maryland,Accommodation and food services,2008 Q1
"10,149",Massachusetts,Accommodation and food services,2008 Q1
"10,201",Michigan,Accommodation and food services,2008 Q1
"66,777",Mideast,Accommodation and food services,2008 Q1
"6,543",Minnesota,Accommodation and food services,2008 Q1
"3,890",Mississippi,Accommodation and food services,2008 Q1
"6,979",Missouri,Accommodation and food services,2008 Q1
"1,265",Montana,Accommodation and food services,2008 Q1
"1,900",Nebraska,Accommodation and food services,2008 Q1
"19,285",Nevada,Accommodation and food services,2008 Q1
"20,952",New England,Accommodation and food services,2008 Q1
"1,898",New Hampshire,Accommodation and food services,2008 Q1
"11,979",New Jersey,Accommodation and food services,2008 Q1
"2,400",New Mexico,Accommodation and food services,2008 Q1
"29,773",New York,Accommodation and food services,2008 Q1
"9,928",North Carolina,Accommodation and food services,2008 Q1
770,North Dakota,Accommodation and food services,2008 Q1
"11,925",Ohio,Accommodation and food services,2008 Q1
"3,605",Oklahoma,Accommodation and food services,2008 Q1
"4,552",Oregon,Accommodation and food services,2008 Q1
"12,940",Pennsylvania,Accommodation and food services,2008 Q1
"23,316",Plains,Accommodation and food services,2008 Q1
"1,553",Rhode Island,Accommodation and food services,2008 Q1
"15,489",Rocky Mountain,Accommodation and food services,2008 Q1
"6,221",South Carolina,Accommodation and food services,2008 Q1
"1,001",South Dakota,Accommodation and food services,2008 Q1
"102,267",Southeast,Accommodation and food services,2008 Q1
"46,624",Southwest,Accommodation and food services,2008 Q1
"8,648",Tennessee,Accommodation and food services,2008 Q1
"31,472",Texas,Accommodation and food services,2008 Q1
"421,433",United States,Accommodation and food services,2008 Q1
"3,018",Utah,Accommodation and food services,2008 Q1
"1,161",Vermont,Accommodation and food services,2008 Q1
"10,283",Virginia,Accommodation and food services,2008 Q1
"9,557",Washington,Accommodation and food services,2008 Q1
"1,942",West Virginia,Accommodation and food services,2008 Q1
"5,979",Wisconsin,Accommodation and food services,2008 Q1
"1,165",Wyoming,Accommodation and food services,2008 Q1
"4,352",Alabama,Administrative and waste management services,2008 Q1
851,Alaska,Administrative and waste management services,2008 Q1
"11,932",Arizona,Administrative and waste management services,2008 Q1
"2,319",Arkansas,Administrative and waste management services,2008 Q1
"59,640",California,Administrative and waste management services,2008 Q1
"8,082",Colorado,Administrative and waste management services,2008 Q1
"6,205",Connecticut,Administrative and waste management services,2008 Q1
"1,232",Delaware,Administrative and waste management services,2008 Q1
"2,668",District of Columbia,Administrative and waste management services,2008 Q1
"80,981",Far West,Administrative and waste management services,2008 Q1
"31,744",Florida,Administrative and waste management services,2008 Q1
"14,673",Georgia,Administrative and waste management services,2008 Q1
"65,317",Great Lakes,Administrative and waste management services,2008 Q1
"2,068",Hawaii,Administrative and waste management services,2008 Q1
"1,862",Idaho,Administrative and waste management services,2008 Q1
"21,733",Illinois,Administrative and waste management services,2008 Q1
"7,342",Indiana,Administrative and waste management services,2008 Q1
"2,886",Iowa,Administrative and waste management services,2008 Q1
"3,845",Kansas,Administrative and waste management services,2008 Q1
"4,032",Kentucky,Administrative and waste management services,2008 Q1
"5,281",Louisiana,Administrative and waste management services,2008 Q1
"1,391",Maine,Administrative and waste management services,2008 Q1
"8,884",Maryland,Administrative and waste management services,2008 Q1
"11,129",Massachusetts,Administrative and waste management services,2008 Q1
"14,340",Michigan,Administrative and waste management services,2008 Q1
"73,094",Mideast,Administrative and waste management services,2008 Q1
"6,546",Minnesota,Administrative and waste management services,2008 Q1
"2,149",Mississippi,Administrative and waste management services,2008 Q1
"7,234",Missouri,Administrative and waste management services,2008 Q1
797,Montana,Administrative and waste management services,2008 Q1
"2,108",Nebraska,Administrative and waste management services,2008 Q1
"3,905",Nevada,Administrative and waste management services,2008 Q1
"22,292",New England,Administrative and waste management services,2008 Q1
"1,791",New Hampshire,Administrative and waste management services,2008 Q1
"15,976",New Jersey,Administrative and waste management services,2008 Q1
"2,328",New Mexico,Administrative and waste management services,2008 Q1
"29,642",New York,Administrative and waste management services,2008 Q1
"11,602",North Carolina,Administrative and waste management services,2008 Q1
484,North Dakota,Administrative and waste management services,2008 Q1
"15,838",Ohio,Administrative and waste management services,2008 Q1
"4,837",Oklahoma,Administrative and waste management services,2008 Q1
"4,654",Oregon,Administrative and waste management services,2008 Q1
"14,692",Pennsylvania,Administrative and waste management services,2008 Q1
"23,727",Plains,Administrative and waste management services,2008 Q1
"1,250",Rhode Island,Administrative and waste management services,2008 Q1
"14,543",Rocky Mountain,Administrative and waste management services,2008 Q1
"6,573",South Carolina,Administrative and waste management services,2008 Q1
625,South Dakota,Administrative and waste management services,2008 Q1
"105,583",Southeast,Administrative and waste management services,2008 Q1
"57,536",Southwest,Administrative and waste management services,2008 Q1
"10,264",Tennessee,Administrative and waste management services,2008 Q1
"38,439",Texas,Administrative and waste management services,2008 Q1
"443,068",United States,Administrative and waste management services,2008 Q1
"3,368",Utah,Administrative and waste management services,2008 Q1
527,Vermont,Administrative and waste management services,2008 Q1
"11,334",Virginia,Administrative and waste management services,2008 Q1
"9,863",Washington,Administrative and waste management services,2008 Q1
"1,260",West Virginia,Administrative and waste management services,2008 Q1
"6,063",Wisconsin,Administrative and waste management services,2008 Q1
434,Wyoming,Administrative and waste management services,2008 Q1
"1,856",Alabama,"Agriculture, forestry, fishing, and hunting",2008 Q1
317,Alaska,"Agriculture, forestry, fishing, and hunting",2008 Q1
"1,535",Arizona,"Agriculture, forestry, fishing, and hunting",2008 Q1
"2,533",Arkansas,"Agriculture, forestry, fishing, and hunting",2008 Q1
"20,656",California,"Agriculture, forestry, fishing, and hunting",2008 Q1
"1,756",Colorado,"Agriculture, forestry, fishing, and hunting",2008 Q1
229,Connecticut,"Agriculture, forestry, fishing, and hunting",2008 Q1
,Delaware,"Agriculture, forestry, fishing, and hunting",2008 Q1
2,District of Columbia,"Agriculture, forestry, fishing, and hunting",2008 Q1
"29,108",Far West,"Agriculture, forestry, fishing, and hunting",2008 Q1
"5,065",Florida,"Agriculture, forestry, fishing, and hunting",2008 Q1
"3,195",Georgia,"Agriculture, forestry, fishing, and hunting",2008 Q1
"16,603",Great Lakes,"Agriculture, forestry, fishing, and hunting",2008 Q1
297,Hawaii,"Agriculture, forestry, fishing, and hunting",2008 Q1
"2,425",Idaho,"Agriculture, forestry, fishing, and hunting",2008 Q1
"5,395",Illinois,"Agriculture, forestry, fishing, and hunting",2008 Q1
"3,336",Indiana,"Agriculture, forestry, fishing, and hunting",2008 Q1
"6,728",Iowa,"Agriculture, forestry, fishing, and hunting",2008 Q1
"3,859",Kansas,"Agriculture, forestry, fishing, and hunting",2008 Q1
"1,613",Kentucky,"Agriculture, forestry, fishing, and hunting",2008 Q1
"1,183",Louisiana,"Agriculture, forestry, fishing, and hunting",2008 Q1
,Maine,"Agriculture, forestry, fishing, and hunting",2008 Q1
777,Maryland,"Agriculture, forestry, fishing, and hunting",2008 Q1
701,Massachusetts,"Agriculture, forestry, fishing, and hunting",2008 Q1
"2,411",Michigan,"Agriculture, forestry, fishing, and hunting",2008 Q1
,Mideast,"Agriculture, forestry, fishing, and hunting",2008 Q1
"5,325",Minnesota,"Agriculture, forestry, fishing, and hunting",2008 Q1
"1,705",Mississippi,"Agriculture, forestry, fishing, and hunting",2008 Q1
"3,123",Missouri,"Agriculture, forestry, fishing, and hunting",2008 Q1
"1,130",Montana,"Agriculture, forestry, fishing, and hunting",2008 Q1
