,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Вологодская область,1070,1062,2132,1216,3348,1095,4443,1208,5651,1126,6777,1234,8011,1241,9252,1002,10254,1156,11410,1054,12464,1048,13512,1016,957,1973,1065,3038,993,4031,1080,5111,956,6067,1114,7181,1144,8325,947,9272,1144,10416,977,11393,909,12302,1026
        Калининградская область,895,860,1755,994,2749,821,3570,879,4449,849,5298,895,6193,1089,7282,978,8260,959,9219,898,10117,819,10936,833,815,1648,887,2535,838,3373,915,4288,862,5150,861,6011,962,6973,973,7946,872,8818,788,9606,710,10316,794
        Ленинградская область,1194,1130,2324,1296,3620,1180,4800,1373,6173,1232,7405,1335,8740,1413,10153,1140,11293,1298,12591,1239,13830,1161,14991,1253,1042,2295,1051,3346,1099,4445,1315,5760,1108,6868,1341,8209,1133,9342,1130,10472,1313,11785,1128,12913,1053,13966,1109
        Мурманская область,640,596,1236,728,1964,579,2543,711,3254,684,3938,637,4575,687,5262,646,5908,664,6572,618,7190,630,7820,629,519,1148,606,1754,598,2352,637,2989,614,3603,667,4270,624,4894,624,5518,690,6208,537,6745,576,7321,532
        Новгородская область,435,505,940,548,1488,496,1984,512,2496,539,3035,613,3648,596,4244,521,4765,510,5275,495,5770,464,6234,470,449,919,488,1407,514,1921,516,2437,505,2942,516,3458,533,3991,463,4454,552,5006,438,5444,398,5842,414
        Псковская область,494,491,985,561,1546,453,1999,525,2524,532,3056,490,3546,597,4143,461,4604,534,5138,505,5643,461,6104,504,449,953,458,1411,483,1894,502,2396,460,2856,556,3412,549,3961,433,4394,566,4960,461,5421,448,5869,437
        Город Санкт-Петербург город федерального значения,5324,4755,10079,5807,15886,5285,21171,5678,26849,5749,32598,6125,38723,6401,45124,5132,50256,5731,55987,5186,61173,5385,66558,5142,4615,9757,5416,15173,4915,20088,5837,25925,5418,31343,5957,37300,5951,43251,5101,48352,5613,53965,5060,59025,4846,63871,4626
        Республика Адыгея (Адыгея),406,352,758,405,1163,332,1495,380,1875,403,2278,395,2673,485,3158,391,3549,405,3954,401,4355,430,4785,420,343,763,345,1108,317,1425,319,1744,373,2117,396,2513,396,2909,393,3302,428,3730,418,4148,373,4521,346
        Республика Калмыкия,240,220,460,257,717,239,956,225,1181,239,1420,247,1667,332,1999,263,2262,248,2510,260,2770,258,3028,247,226,473,269,742,235,977,236,1213,239,1452,267,1719,287,2006,273,2279,271,2550,265,2815,228,3043,221
        Республика Крым,1675,1501,3176,1858,5034,1470,6504,1643,8147,1663,9810,1840,11650,2133,13783,1762,15545,1849,17394,1807,19201,1761,20962,1712,1572,3284,1666,4950,1363,6313,1545,7858,1620,9478,1836,11314,1989,13303,1812,15115,1901,17016,1698,18714,1552,20266,1591
