,2017,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,2019
,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь,февраль,январь-февраль,март,январь-март,апрель,январь-апрель,май,январь-май,июнь,январь-июнь,июль,январь-июль,август,январь-август,сентябрь,январь-сентябрь,октябрь,январь-октябрь,ноябрь,январь-ноябрь,декабрь,январь-декабрь,январь
        Республика Адыгея (Адыгея),5,1,6,3,9,2,11,3,14,2,16,3,19,4,23,2,25,2,27,4,31,2,33,3,3,6,3,9,0,9,1,10,1,11,0,11,2,13,0,13,2,15,0,15,2,17,2
        Республика Калмыкия,1,1,2,3,5,0,5,2,7,0,7,1,8,1,9,3,12,1,13,1,14,1,15,1,1,2,1,3,3,6,0,6,1,7,1,8,1,9,2,11,3,14,3,17,2,19,0
        Республика Крым,13,6,19,10,29,7,36,13,49,10,59,10,69,12,81,9,90,9,99,4,103,11,114,3,7,10,4,14,4,18,5,23,8,31,9,40,5,45,7,52,5,57,12,69,7,76,9
        Краснодарский край,20,28,48,22,70,17,87,26,113,20,133,23,156,20,176,23,199,33,232,37,269,25,294,24,22,46,28,74,26,100,25,125,29,154,30,184,33,217,31,248,9,257,25,282,31,313,20
        Астраханская область,3,11,14,3,17,9,26,9,35,6,41,5,46,8,54,3,57,6,63,5,68,6,74,6,3,9,7,16,6,22,5,27,5,32,8,40,8,48,8,56,5,61,8,69,2,71,7
        Волгоградская область,6,4,10,12,22,7,29,13,42,14,56,9,65,10,75,7,82,9,91,8,99,9,108,7,13,20,11,31,9,40,9,49,11,60,9,69,7,76,9,85,8,93,14,107,9,116,7
        Ростовская область,33,15,48,23,71,22,93,23,116,25,141,29,170,25,195,34,229,23,252,21,273,15,288,15,12,27,22,49,11,60,21,81,13,94,19,113,23,136,20,156,18,174,18,192,20,212,12
        Город федерального значения Севастополь,2,1,3,2,5,2,7,1,8,1,9,4,13,0,13,1,14,2,16,2,18,2,20,7,1,8,2,10,1,11,0,11,0,11,0,11,0,11,0,11,0,11,1,12,1,13,1
        Республика Дагестан,40,47,87,36,123,36,159,38,197,21,218,37,255,24,279,38,317,44,361,39,400,44,444,47,31,78,32,110,30,140,32,172,32,204,49,253,30,283,34,317,21,338,39,377,22,399,6
        Республика Ингушетия*,5,6,11,7,18,6,24,5,29,6,35,6,41,6,47,4,51,2,53,2,55,3,58,4,5,9,6,15,5,20,5,25,2,27,3,30,3,33,4,37,3,40,4,44,3,47,2
        Кабардино-Балкарская Республика,3,8,11,6,17,5,22,5,27,6,33,3,36,4,40,2,42,3,45,5,50,2,52,9,5,14,6,20,5,25,4,29,2,31,4,35,3,38,4,42,6,48,4,52,1,53,3
        Карачаево-Черкесская Республика,4,4,8,3,11,3,14,5,19,1,20,2,22,5,27,3,30,1,31,1,32,4,36,1,2,3,2,5,5,10,4,14,3,17,5,22,4,26,3,29,2,31,2,33,1,34,7
        Республика Северная Осетия-Алания,2,3,5,7,12,6,18,2,20,6,26,2,28,8,36,4,40,3,43,4,47,2,49,4,2,6,2,8,4,12,3,15,6,21,7,28,2,30,1,31,3,34,1,35,2,37,3
        Чеченская Республика*,28,19,47,20,67,18,85,19,104,23,127,29,156,21,177,17,194,24,218,25,243,32,275,18,19,37,19,56,17,73,16,89,13,102,19,121,19,140,23,163,8,171,5,176,19,195,14
        Ставропольский край,24,25,49,20,69,25,94,25,119,22,141,21,162,12,174,25,199,20,219,24,243,18,261,18,22,40,18,58,23,81,10,91,14,105,23,128,18,146,18,164,0,164,0,164,24,188,5
        Республика Башкортостан,14,30,44,37,81,43,124,47,171,22,193,36,229,20,249,14,263,34,297,21,318,26,344,25,24,49,23,72,22,94,17,111,24,135,24,159,19,178,12,190,18,208,15,223,23,246,20
        Республика Марий Эл,3,1,4,2,6,8,14,2,16,4,20,5,25,4,29,2,31,3,34,3,37,0,37,7,4,11,3,14,3,17,3,20,5,25,5,30,4,34,1,35,2,37,0,37,6,43,2
        Республика Мордовия,3,1,4,6,10,2,12,1,13,3,16,5,21,3,24,3,27,4,31,2,33,2,35,4,0,4,2,6,2,8,1,9,0,9,1,10,3,13,3,16,1,17,3,20,2,22,2
        Республика Татарстан (Татарстан),24,20,44,24,68,22,90,15,105,19,124,22,146,14,160,12,172,27,199,24,223,27,250,20,14,34,20,54,16,70,19,89,17,106,16,122,14,136,8,144,24,168,15,183,25,208,14
        Удмуртская Республика,11,5,16,6,22,4,26,7,33,8,41,11,52,7,59,4,63,3,66,16,82,3,85,5,8,13,10,23,5,28,3,31,12,43,7,50,3,53,6,59,5,64,4,68,5,73,1
        Чувашская Республика - Чувашия,3,4,7,7,14,4,18,6,24,4,28,6,34,6,40,3,43,0,43,0,43,4,47,6,2,8,6,14,5,19,5,24,3,27,4,31,6,37,7,44,4,48,1,49,2,51,5
        Пермский край,16,16,32,19,51,5,56,20,76,9,85,9,94,14,108,19,127,17,144,16,160,12,172,9,11,20,15,35,15,50,12,62,10,72,15,87,14,101,6,107,5,112,3,115,7,122,9
        Кировская область,6,2,8,7,15,8,23,3,26,5,31,3,34,3,37,4,41,8,49,7,56,2,58,6,3,9,6,15,6,21,5,26,11,37,5,42,1,43,2,45,6,51,4,55,3,58,1
        Нижегородская область,16,8,24,11,35,14,49,15,64,14,78,15,93,20,113,18,131,17,148,19,167,16,183,16,21,37,14,51,18,69,23,92,10,102,14,116,19,135,11,146,9,155,11,166,17,183,18
        Оренбургская область,14,5,19,11,30,12,42,14,56,12,68,18,86,15,101,23,124,21,145,14,159,19,178,13,8,21,17,38,12,50,9,59,7,66,8,74,9,83,10,93,11,104,7,111,9,120,6
        Пензенская область,5,3,8,3,11,3,14,8,22,5,27,3,30,3,33,2,35,5,40,5,45,5,50,4,4,8,2,10,3,13,6,19,2,21,1,22,2,24,7,31,3,34,7,41,5,46,3
        Самарская область,16,16,32,10,42,12,54,14,68,18,86,8,94,12,106,9,115,8,123,17,140,21,161,14,12,26,13,39,11,50,14,64,4,68,20,88,16,104,7,111,5,116,23,139,12,151,10
        Саратовская область,16,15,31,10,41,9,50,14,64,13,77,1,78,7,85,13,98,9,107,8,115,14,129,11,6,17,8,25,8,33,10,43,6,49,12,61,7,68,7,75,11,86,9,95,10,105,5
        Ульяновская область,8,9,17,4,21,7,28,7,35,7,42,3,45,4,49,3,52,1,53,5,58,7,65,2,8,10,5,15,5,20,6,26,6,32,6,38,11,49,4,53,2,55,3,58,4,62,4
        Курганская область,4,3,7,5,12,6,18,4,22,3,25,2,27,3,30,5,35,3,38,4,42,2,44,2,6,8,6,14,6,20,4,24,6,30,3,33,6,39,6,45,1,46,5,51,7,58,1
        Свердловская область,30,22,52,21,73,17,90,21,111,23,134,18,152,17,169,31,200,25,225,24,249,15,264,23,19,42,20,62,21,83,27,110,13,123,17,140,24,164,12,176,21,197,20,217,19,236,27
        Тюменская область,11,13,24,30,54,21,75,27,102,22,124,16,140,26,166,22,188,16,204,21,225,24,249,18,15,33,19,52,16,68,22,90,14,104,16,120,11,131,12,143,14,157,18,175,14,189,8
        Челябинская область,19,13,32,30,62,18,80,22,102,16,118,13,131,18,149,31,180,29,209,25,234,23,257,23,24,47,18,65,17,82,20,102,24,126,19,145,19,164,15,179,12,191,10,201,7,208,17
        Республика Алтай,1,2,3,5,8,3,11,3,14,2,16,4,20,3,23,4,27,1,28,4,32,2,34,1,2,3,4,7,3,10,1,11,2,13,4,17,3,20,1,21,0,21,2,23,2,25,4
        Республика Бурятия,8,6,14,5,19,10,29,12,41,6,47,8,55,10,65,7,72,7,79,5,84,9,93,11,4,15,5,20,8,28,5,33,3,36,4,40,8,48,12,60,10,70,6,76,7,83,6
        Республика Тыва,10,4,14,5,19,3,22,6,28,4,32,6,38,10,48,2,50,3,53,6,59,3,62,6,5,11,3,14,9,23,4,27,6,33,6,39,9,48,4,52,4,56,3,59,4,63,4
        Республика Хакасия,3,0,3,3,6,1,7,3,10,6,16,2,18,4,22,4,26,4,30,3,33,2,35,5,3,8,2,10,3,13,0,13,5,18,3,21,3,24,0,24,0,24,0,24,3,27,1
        Алтайский край,18,14,32,13,45,16,61,15,76,12,88,19,107,16,123,15,138,17,155,14,169,10,179,15,15,30,10,40,11,51,19,70,16,86,17,103,27,130,17,147,7,154,7,161,13,174,14
        Забайкальский край,6,7,13,11,24,5,29,9,38,8,46,3,49,13,62,1,63,8,71,7,78,5,83,7,7,14,12,26,5,31,8,39,11,50,10,60,5,65,6,71,5,76,8,84,13,97,5
        Красноярский край,14,17,31,21,52,15,67,23,90,17,107,20,127,23,150,10,160,28,188,15,203,21,224,18,16,34,11,45,16,61,10,71,16,87,10,97,21,118,20,138,17,155,17,172,15,187,20
        Иркутская область,21,12,33,26,59,14,73,19,92,23,115,23,138,20,158,19,177,11,188,18,206,24,230,23,22,45,28,73,13,86,17,103,19,122,21,143,19,162,15,177,12,189,14,203,19,222,15
        Кемеровская область,12,23,35,16,51,20,71,24,95,17,112,14,126,20,146,11,157,16,173,22,195,8,203,7,16,23,14,37,11,48,18,66,16,82,10,92,10,102,8,110,10,120,11,131,5,136,13
