,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,nace_r2,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,s_adj,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,unit,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
1985-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1986-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1986-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1986-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1986-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1987-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1987-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1987-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1987-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1988-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1988-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1988-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1988-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1989-01-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1989-04-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1989-07-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1989-10-01,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,,,6.0,678
1990-01-01,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382
1990-04-01,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382
1990-07-01,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382
1990-10-01,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382,,,,,,,,,,,,,,,,,384.0,,432.0,,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1382
1991-01-01,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622
1991-04-01,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622
1991-07-01,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622
1991-10-01,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622,,,,,,,,,,,,,,,,,384.0,,432.0,240.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1622
1992-01-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646
1992-04-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646
1992-07-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646
1992-10-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,,320.0,,6.0,1646
1993-01-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886
1993-04-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886
1993-07-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886
1993-10-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,240.0,320.0,,6.0,1886
1994-01-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910
1994-04-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910
1994-07-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910
1994-10-01,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910,,,,,,,,,,,,,,,,,384.0,,432.0,264.0,,,,,,,,,,,,240.0,,,,,,,,264.0,320.0,,6.0,1910
1995-01-01,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,220.0,,264.0,,360.0,144.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,144.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099
1995-04-01,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,220.0,,264.0,,360.0,144.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,144.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099
1995-07-01,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,220.0,,264.0,,360.0,144.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,144.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099
1995-10-01,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,240.0,,264.0,,360.0,288.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,432.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099,,72.0,220.0,,264.0,,360.0,144.0,264.0,264.0,240.0,240.0,240.0,240.0,240.0,240.0,384.0,,432.0,264.0,240.0,273.0,288.0,144.0,,432.0,360.0,360.0,,,178.0,240.0,240.0,240.0,240.0,108.0,264.0,240.0,240.0,264.0,400.0,,240.0,9099
1996-01-01,,274.0,264.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,432.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679,,274.0,264.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,432.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679,,274.0,264.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,432.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679,,274.0,242.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,408.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679
1996-04-01,,274.0,264.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,432.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679,,274.0,264.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,432.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679,,274.0,264.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,432.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679,,274.0,242.0,,264.0,,432.0,432.0,264.0,264.0,288.0,288.0,288.0,288.0,288.0,288.0,384.0,,432.0,264.0,264.0,297.0,288.0,408.0,,432.0,384.0,432.0,,,274.0,240.0,264.0,264.0,264.0,120.0,264.0,264.0,288.0,264.0,400.0,,288.0,10679
